When,Level1%,Level2%,Strength,TH,Contracts,Date,SPX,1Mo,1Yr,10Yr,Side,VIX,NDX,Net Profit,SPY,%Change 1Mo
2022-05-27 13:56:00,-0.0007000000000000001,-0.0067,25.0,0.0,1.0,2022-05-27,4152.73,0.69,2.01,2.74,A,25.72,12662.19,0.0,414.84,87.56756756756756
2022-05-27 13:56:00,-0.0007000000000000001,-0.0067,27.0,0.0,1.0,2022-05-27,4152.73,0.69,2.01,2.74,A,25.72,12662.19,35.72,414.84,-0.0
2022-06-17 11:35:00,-0.0052,0.006999999999999999,45.0,0.0,1.0,2022-06-17,3689.01,1.15,2.86,3.25,B,31.28,11324.43,1.69,367.38,66.66666666666666
2022-06-17 11:35:00,-0.0052,0.006999999999999999,45.0,0.0,1.0,2022-06-17,3689.01,1.15,2.86,3.25,B,31.28,11324.43,0.0,367.38,-0.0
2022-06-30 09:26:00,0.0139,0.0021,45.0,0.0,1.0,2022-06-30,3787.17,1.28,2.8,2.98,A,29.41,11548.68,0.0,377.4,11.304347826086968
2022-06-30 09:26:00,0.0139,0.0021,45.0,0.0,1.0,2022-06-30,3787.17,1.28,2.8,2.98,A,29.41,11548.68,1.69,377.4,-0.0
2022-06-30 10:49:00,-0.0155,0.0016,65.0,0.0,1.0,2022-06-30,3808.88,1.28,2.8,2.98,B,28.93,11612.15,0.0,379.49,-0.0
2022-06-30 10:49:00,-0.0155,0.0016,65.0,0.0,1.0,2022-06-30,3808.88,1.28,2.8,2.98,B,28.93,11612.15,1.69,379.49,-0.0
2022-06-30 10:49:00,-0.0155,-0.0036,45.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,1.69,379.54,-0.0
2022-06-30 10:49:00,-0.0155,-0.0063,35.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,1.69,379.54,-0.0
2022-06-30 10:49:00,-0.0155,0.0042,75.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,3.69,379.54,-0.0
2022-06-30 10:49:00,-0.0155,-0.001,55.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,3.69,379.54,-0.0
2022-06-30 10:49:00,-0.0155,-0.0036,45.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,0.0,379.54,-0.0
2022-06-30 10:49:00,-0.0155,-0.0063,35.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,0.0,379.54,-0.0
2022-06-30 10:49:00,-0.0155,0.0042,75.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,0.0,379.54,-0.0
2022-06-30 10:49:00,-0.0155,-0.001,55.0,0.0,1.0,2022-06-30,3808.89,1.28,2.8,2.98,B,28.96,11611.83,0.0,379.54,-0.0
2022-06-30 11:55:00,0.0077,-0.0015,35.0,0.0,1.0,2022-06-30,3810.7,1.28,2.8,2.98,A,28.73,11617.36,4.69,379.73,-0.0
2022-06-30 11:55:00,0.0077,0.0011,25.0,0.0,1.0,2022-06-30,3810.7,1.28,2.8,2.98,A,28.73,11617.36,4.69,379.73,-0.0
2022-06-30 11:55:00,0.0077,-0.0015,35.0,0.0,1.0,2022-06-30,3810.7,1.28,2.8,2.98,A,28.73,11617.36,0.0,379.73,-0.0
2022-06-30 11:55:00,0.0077,0.0011,25.0,0.0,1.0,2022-06-30,3810.7,1.28,2.8,2.98,A,28.73,11617.36,0.0,379.73,-0.0
2022-06-30 13:36:00,0.0206,-0.0044,95.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,0.0,377.88,-0.0
2022-06-30 13:36:00,0.0206,-0.0018,85.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,0.0,377.88,-0.0
2022-06-30 13:36:00,0.0206,0.0008,75.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,0.0,377.88,-0.0
2022-06-30 13:36:00,0.0206,0.0034999999999999996,65.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,0.0,377.88,-0.0
2022-06-30 13:36:00,0.0206,0.0060999999999999995,55.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,0.0,377.88,-0.0
2022-06-30 13:36:00,0.0206,-0.0044,95.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,7.71,377.88,-0.0
2022-06-30 13:36:00,0.0206,-0.0018,86.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,13.71,377.88,-0.0
2022-06-30 13:36:00,0.0206,0.0008,76.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,11.71,377.88,-0.0
2022-06-30 13:36:00,0.0206,0.0034999999999999996,66.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,13.71,377.88,-0.0
2022-06-30 13:36:00,0.0206,0.0060999999999999995,55.0,0.0,1.0,2022-06-30,3791.82,1.28,2.8,2.98,A,28.52,11541.18,6.71,377.88,-0.0
2022-07-01 09:05:00,-0.012,-0.026600000000000002,55.0,0.0,1.0,2022-07-01,3765.2,1.27,2.79,2.88,A,28.47,11421.53,0.0,375.25,0.7812500000000007
2022-07-01 09:05:00,-0.012,-0.026600000000000002,55.0,0.0,1.0,2022-07-01,3765.2,1.27,2.79,2.88,A,28.47,11421.53,1.71,375.25,-0.0
2022-07-01 09:16:00,-0.016200000000000003,-0.0043,45.0,0.0,1.0,2022-07-01,3781.11,1.27,2.79,2.88,B,28.05,11477.23,0.69,376.8,-0.0
2022-07-01 09:16:00,-0.016200000000000003,-0.0043,45.0,0.0,1.0,2022-07-01,3781.11,1.27,2.79,2.88,B,28.05,11477.23,0.0,376.8,-0.0
2022-07-01 09:16:00,-0.016,0.0012,65.0,0.0,1.0,2022-07-01,3780.41,1.27,2.79,2.88,B,28.05,11474.2,0.0,376.8,-0.0
2022-07-01 09:16:00,-0.016,0.0039000000000000003,75.0,0.0,1.0,2022-07-01,3780.41,1.27,2.79,2.88,B,28.05,11474.2,0.0,376.8,-0.0
2022-07-01 09:16:00,-0.016,-0.0014000000000000002,55.0,0.0,1.0,2022-07-01,3780.41,1.27,2.79,2.88,B,28.05,11474.2,0.0,376.8,-0.0
2022-07-01 09:16:00,-0.016,0.0012,65.0,0.0,1.0,2022-07-01,3780.41,1.27,2.79,2.88,B,28.05,11474.2,1.69,376.8,-0.0
2022-07-01 09:16:00,-0.016,0.0039000000000000003,75.0,0.0,1.0,2022-07-01,3780.41,1.27,2.79,2.88,B,28.05,11474.2,1.69,376.8,-0.0
2022-07-01 09:16:00,-0.016,-0.0014000000000000002,55.0,0.0,1.0,2022-07-01,3780.41,1.27,2.79,2.88,B,28.05,11474.2,1.69,376.8,-0.0
2022-07-01 12:31:00,0.0058,-0.0007000000000000001,25.0,0.0,1.0,2022-07-01,3807.73,1.27,2.79,2.88,A,26.84,11527.82,0.0,379.41,-0.0
2022-07-01 12:31:00,0.0058,0.0019,15.0,0.0,1.0,2022-07-01,3807.73,1.27,2.79,2.88,A,26.84,11527.82,0.0,379.41,-0.0
2022-07-01 12:31:00,0.0058,-0.0007000000000000001,25.0,0.0,1.0,2022-07-01,3807.73,1.27,2.79,2.88,A,26.84,11527.82,1.69,379.41,-0.0
2022-07-01 12:31:00,0.0058,0.0019,15.0,0.0,1.0,2022-07-01,3807.73,1.27,2.79,2.88,A,26.84,11527.82,1.69,379.41,-0.0
2022-07-01 13:01:00,0.0079,-0.0013,35.0,0.0,1.0,2022-07-01,3809.89,1.27,2.79,2.88,A,26.78,11541.62,5.71,379.63,-0.0
2022-07-01 13:01:00,0.0079,-0.0013,35.0,0.0,1.0,2022-07-01,3809.89,1.27,2.79,2.88,A,26.78,11541.62,0.0,379.63,-0.0
2022-07-01 13:36:00,0.0098,-0.0019,45.0,0.0,1.0,2022-07-01,3822.44,1.27,2.79,2.88,A,26.77,11571.71,0.0,380.9,-0.0
2022-07-01 13:36:00,0.0098,0.0007000000000000001,35.0,0.0,1.0,2022-07-01,3822.44,1.27,2.79,2.88,A,26.77,11571.71,0.0,380.9,-0.0
2022-07-01 13:36:00,0.0098,-0.0019,45.0,0.0,1.0,2022-07-01,3822.44,1.27,2.79,2.88,A,26.77,11571.71,3.71,380.9,-0.0
2022-07-01 13:36:00,0.0098,0.0007000000000000001,35.0,0.0,1.0,2022-07-01,3822.44,1.27,2.79,2.88,A,26.77,11571.71,3.71,380.9,-0.0
2022-07-01 13:43:00,-0.0048,0.0018,25.0,0.0,1.0,2022-07-01,3828.27,1.27,2.79,2.88,B,26.71,11587.64,0.71,381.45,-0.0
